Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery,taster_name,taster_twitter_handle,title
125195,France,"This Premier Cru vineyard lies north of the Grand Crus, with a west-facing exposure. It has yielded a wine with soft, generous floral character, ripe yellow fruit and a crisp, mineral edge. Finely sculpted and ageworthy, it will be best from 2019.",Fourchaume Premier Cru,93,40.0,Burgundy,Chablis,,Chardonnay,La Chablisienne,Roger Voss,@vossroger,La Chablisienne 2014 Fourchaume Premier Cru  (Chablis)
125196,France,"This refreshing wine comes from one of the Premier Cru sites on the north-facing bank of the Serein river. It's structured, tight and full of fine acidity and grapefruit and crisp apple flavors. Its texture and mineral character will allow it to age. Drink from 2019.",Montmains Premier Cru,93,35.0,Burgundy,Chablis,,Chardonnay,La Chablisienne,Roger Voss,@vossroger,La Chablisienne 2014 Montmains Premier Cru  (Chablis)
125197,France,"Barrel fermentation and aging have given this wine its ripe character. They have filled it out with spiciness, adding complexity to the yellow fruit and maturing acidity. It's not going to age much further but is very fine to drink now.",,93,200.0,Burgundy,Corton-Charlemagne,,Chardonnay,Nicolas Potel,Roger Voss,@vossroger,Nicolas Potel 2012  Corton-Charlemagne
125198,France,"This is one of a collection of Champagnes tasted and approved by a group of growers under the Special Club label. With a predominance of Chardonnay, it's still crisp and fruity, showing rich apple and pear flavors. Its citrusy acidity gives it lift, slowing any signs of maturity. It will continue to age gracefully but is delicious now.",Special Club Brut,93,56.0,Champagne,Champagne,,Champagne Blend,Charlier & Fils,Roger Voss,@vossroger,Charlier & Fils 2005 Special Club Brut  (Champagne)
125199,Italy,"Spiced plum, blue flower, vanilla, French oak and balsamic aromas lead the way on this firmly structured red. Full-bodied and elegant, the youthful, enveloping palate evokes blackberry, black cherry, pipe tobacco and ground clove framed in tightly knit fine-grained tannins. Drink 2020–2032.",Riserva,93,55.0,Southern Italy,Taurasi,,Aglianico,Donnachiara,Kerin O’Keefe,@kerinokeefe,Donnachiara 2012 Riserva  (Taurasi)
125200,US,"This light-bodied, dry wine smells fresh and fruity, tastes like crisp apples and honeydew melon, and has a soft texture that makes it easy to sip.",,85,23.0,California,California,California Other,Pinot Grigio,Bota Box,Jim Gordon,@gordone_cellars,Bota Box 2015 Pinot Grigio (California)
125201,France,"A soft, strawberry flavored wine that is smooth and immediately attractive. Despite its low alcohol, it has a ripe feel to it from the rich fruit and the almost off-dry character. The acidity gently kicks in at the end.",,85,,Languedoc-Roussillon,Languedoc,,Rosé,Carayon la Rose,Roger Voss,@vossroger,Carayon la Rose 2015 Rosé (Languedoc)
125202,Spain,"Rubbery black plum and berry aromas lead to a fresh, tight palate with astringent tannins. Generic berry flavors are angular, while this everyday Garnacha is tannic and scratchy on the finish.",,85,10.0,Northern Spain,Cariñena,,Garnacha,Castillo de Monséran,Michael Schachner,@wineschach,Castillo de Monséran 2014 Garnacha (Cariñena)
125203,France,"This wine is textured and fruity. Crisp citrus and red-currant fruits are layered with bright acidity and a refreshing aftertaste. The wine could do with a few more months before drinking, so wait until late 2016.",,85,,Bordeaux,Bordeaux Rosé,,Rosé,Château Cazeau,Roger Voss,@vossroger,Château Cazeau 2015 Rosé (Bordeaux Rosé)
125204,France,"From the home estate of wine academic and guru Denis Dubourdieu, this tight, nervy wine has a mineral character rounded by wild-strawberry flavors. An attractive citrus tang gives it good bite at the end. Drink now.",Le Rosé de Floridène,85,14.0,Bordeaux,Bordeaux Rosé,,Rosé,Clos Floridène,Roger Voss,@vossroger,Clos Floridène 2015 Le Rosé de Floridène Rosé (Bordeaux Rosé)
125205,Romania,"This Romanian Cabernet Sauvignon smells like black raspberry, cherry vanilla and a touch of mint. There are flavors of red berries and red plum on the palate.",Dreamfish,85,7.0,Romania,,,Cabernet Sauvignon,Cramele Recas,Jeff Jenssen,@worldwineguys,Cramele Recas 2015 Dreamfish Cabernet Sauvignon (Romania)
125206,France,Yellow plum and fresh lemon seem to have an earthy tinge and some bitter edges on the palate. But this wine still offers lively enough fruit and some texture.,Réserve,85,20.0,Alsace,Alsace,,Pinot Blanc,Domaine Fernand Engel,Anne Krebiehl MW,@AnneInVino,Domaine Fernand Engel 2015 Réserve Pinot Blanc (Alsace)
125207,France,"Simple, fresh yellow-apple fruit is met with some citrus freshness on the clean palate that could do with a little more precision. Nonetheless, this is neutral, versatile and fresh.",,85,19.0,Alsace,Alsace,,Pinot Blanc,Domaine François Schmitt,Anne Krebiehl MW,@AnneInVino,Domaine François Schmitt 2014 Pinot Blanc (Alsace)
125208,US,"Made in stainless-steel tanks and a mix of French and American oak barrels, this new, low-priced, low-in-alcohol white is straightforward in its rich layers of butterscotch and tropical vanilla, with a roundness that many will find attractive.",,85,12.0,California,Sonoma County,Sonoma,Chardonnay,We Are Sonoma,Virginie Boone,@vboone,We Are Sonoma NV Chardonnay (Sonoma County)
125209,France,"Bruised apple notes precede a friendly, easy, soft, apple-scented wine with a light and dry body. Drink soon while aromas last.",Gentil,85,13.0,Alsace,Alsace,,Alsace white blend,Willm,Anne Krebiehl MW,@AnneInVino,Willm 2015 Gentil White (Alsace)
125210,US,"This wine smells like dried herbs and white pepper, tastes herbaceous and feels rather stiff on the tongue. Being lean in style, it's not a great stand-alone drink but will be good at the dinner table.",Lot 16,85,24.0,California,North Coast,North Coast,Cabernet Sauvignon,Tangley Oaks,Jim Gordon,@gordone_cellars,Tangley Oaks 2012 Lot 16 Cabernet Sauvignon (North Coast)
125211,Spain,"Wiry and abrasive on the nose, this smells a lot like licorice and white gumdrops. In the mouth, this feels clipped and slightly artificial. Flavors of plastic, vanilla, chocolate and cherry come mostly from sketchy oak, while the finish is somewhat hot, with a plastic-like oak flavor.",4M,85,13.0,Northern Spain,Rioja,,Tempranillo,Taron,Michael Schachner,@wineschach,Taron 2012 4M  (Rioja)
125212,Spain,"Gamy, roasted berry and plum aromas are a bit leathery. This is full in body, with bracing tomato-like acidity. Saucy flavors of bacon and baked fruits finish a touch sticky.",Codice,85,9.0,Central Spain,Vino de la Tierra de Castilla,,Tempranillo,Dominio de Eguren,Michael Schachner,@wineschach,Dominio de Eguren 2013 Codice Tempranillo (Vino de la Tierra de Castilla)
125213,Spain,"Smoky, sulfuric aromas put you on alert. This strange Catalonian blend of Garnacha Blanca, Albariño and Moscatel feels solid and centered, while salty papaya flavors are a touch bitter. A finish with little flavor but good texture close this out.",Sisquella,85,21.0,Catalonia,Costers del Segre,,White Blend,Clos Pons,Michael Schachner,@wineschach,Clos Pons 2013 Sisquella White (Costers del Segre)
125214,Spain,"A funk city nose is far from fresh and familiar—look for aromas of vitamins, pickled cabbage and warm, dusty radiator. A slightly rough full-sized palate tastes briny and funky, with little fruit. This is chunky, briny tasting and salty on the finish.",1637 Seleccion Especial Brut Rosado,85,18.0,Catalonia,Cava,,Sparkling Blend,Damia,Michael Schachner,@wineschach,Damia 2012 1637 Seleccion Especial Brut Rosado Sparkling (Cava)
125215,France,"A blend from a wider area than just Côtes de Provence, the wine is lightly spicy, full of red fruits and citrus acidity. There is a typical touch of pepper that adds extra interest to what is a refreshing wine.",Juliette,85,13.0,France Other,Mediterranée,,Rosé,Domaine de la Sanglière,Roger Voss,@vossroger,Domaine de la Sanglière 2015 Juliette Rosé (Mediterranée)
125216,France,"Plump, almost overripe yellow plums are ample on the nose. The palate rescues this somewhat with freshness, but flavor and taste seem slightly disjointed.",,85,19.0,Alsace,Alsace,,Riesling,Domaine de la Tour Blanche,Anne Krebiehl MW,@AnneInVino,Domaine de la Tour Blanche 2013 Riesling (Alsace)
125217,France,"Made by the Barcelo family in the east of Corsica, the wine is ripe with strawberry fruit flavors that are balanced with apple acidity. It is lightly textured, just hinting at citrus. This is a fine apéritif style.",,85,10.0,France Other,Ile de Beauté,,Rosé,Domaine Vetriccie,Roger Voss,@vossroger,Domaine Vetriccie 2015 Rosé (Ile de Beauté)
125218,US,"Light aromas, light body and delicate peach and apple flavors make this slightly sweet wine simple and refreshing.",,85,17.0,California,California,California Other,Sauvignon Blanc,Succulent Vineyards,Jim Gordon,@gordone_cellars,Succulent Vineyards 2014 Sauvignon Blanc (California)
125219,US,"This single vineyard selection is softly herbal, with peppery strawberry fruit. The finish leaves an impression of water crackers.",Tuenge Vineyard,85,26.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Oak Knoll,Paul Gregutt,@paulgwine ,Oak Knoll 2012 Tuenge Vineyard Pinot Noir (Willamette Valley)
125220,France,A soft and fruity wine that brings out attractive red berries and ripe plum flavors. There is the lightest touch of structure in a wine that is totally ready to drink.,Les Enfants Terribles,85,17.0,Languedoc-Roussillon,Pays d'Oc,,Pinot Noir,Jean-Luc and Paul Aegerter,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2014 Les Enfants Terribles Pinot Noir (Pays d'Oc)
125221,US,"Strong flavors of clove and mint dominate this unusual Riesling. It's quite dry, with good penetration, though a world apart from most of its peers. With the right food (Thai?), the potent flavors might prove complementary.",,85,14.0,Oregon,Willamette Valley,Willamette Valley,Riesling,Kudos,Paul Gregutt,@paulgwine ,Kudos 2015 Riesling (Willamette Valley)
125222,US,"This medium-bodied wine smells like a cherry pie, tastes quite ripe and fruity, and has a smooth texture and lightly sweet finish.",The Revivalist,85,12.0,California,Lodi,Central Valley,Merlot,Tortoise Creek,Jim Gordon,@gordone_cellars,Tortoise Creek 2013 The Revivalist Merlot (Lodi)
125223,US,"Light strawberry, tart cherry and fruit-punch aromas arise on the nose of this widely available bottling. It's quite soft and weak on the palate, with red cherries, strawberries and a touch of thyme.",,85,18.0,California,Central Coast,Central Coast,Pinot Noir,William Hill Estate,Matt Kettmann,@mattkettmann,William Hill Estate 2014 Pinot Noir (Central Coast)
125224,France,"The nose is closed and gives away little. Fresh, clean and lemony, the palate is colored slightly by fresh pear but there is not much besides. Drink as fresh as possible.",Réserve,85,13.0,Alsace,Alsace,,Pinot Blanc,Willm,Anne Krebiehl MW,@AnneInVino,Willm 2015 Réserve Pinot Blanc (Alsace)
125225,Spain,"Jumpy, candied-cherry and berry aromas are straight from Kool-Aid city. Fresh on the palate, with pure but simple cherry, plum and raspberry flavors, this is meant for simple sipping. Serve lightly chilled for best results.",El Circo Acróbata,85,8.0,Northern Spain,Cariñena,,Garnacha,Grandes Vinos y Viñedos,Michael Schachner,@wineschach,Grandes Vinos y Viñedos 2014 El Circo Acróbata Garnacha (Cariñena)
125226,US,This medium-bodied wine has veggie and grapefruit aromas and unapologetic herbal flavors on a fairly crisp texture.,,85,14.0,California,California,California Other,Sauvignon Blanc,75 Wine Co.,Jim Gordon,@gordone_cellars,75 Wine Co. 2014 Sauvignon Blanc (California)
125227,France,Some notes of bruised apple appear on the nose. The palate has some bitter notes but provides the sort of textured midpalate that works well with soft cheeses.,Tradition,85,16.0,Alsace,Alsace,,Pinot Blanc,Bott Frères,Anne Krebiehl MW,@AnneInVino,Bott Frères 2015 Tradition Pinot Blanc (Alsace)
125228,US,"Smelling like a freshly mowed lawn, the nose on this bottling also offers that funky cut tennis ball and sour-apple aroma common in some Sauv Blancs. There is strong acidity once sipped, and a stony structure frames dried green apple and sour grass flavors.",Liage,85,24.0,California,Monterey County,Central Coast,Sauvignon Blanc,Byington,Matt Kettmann,@mattkettmann,Byington 2013 Liage Sauvignon Blanc (Monterey County)
125229,Chile,"Dark in color and jammy on the nose, this seemingly ripe Merlot smells of plum, blackberry and raisin. In the mouth, it's blocky and tannic, with nonintegrated high acidity. Salty, briny blackberry flavors finish peppery and with drying, hard tannins.",Reserva,85,17.0,Cachapoal Valley,,,Merlot,Rios de Chile,Michael Schachner,@wineschach,Rios de Chile 2014 Reserva Merlot (Cachapoal Valley)
125230,France,"Vines up to 40-years-old are growing on this 13-acre parcel. The wine is lighter than some in this producer's range. At the same time, it is also more mineral and more textured, giving a tight steely wine that will need some time. So drink this wine from 2019.",Clos Paradis,92,30.0,Loire Valley,Sancerre,,Sauvignon Blanc,Domaine Fouassier,Roger Voss,@vossroger,Domaine Fouassier 2015 Clos Paradis  (Sancerre)
125231,France,"Produced from biodynamically grown grapes, the wine honors the fact that the Romans got here 2,000 years ago. It has intense fruit, yellow and whites stone-fruit flavors and just the right bright acidity to go with all this opulence. The aftertaste brings in spice and vanilla that add complexity. Drink the wine from 2018.",Les Romains,92,35.0,Loire Valley,Sancerre,,Sauvignon Blanc,Domaine Fouassier,Roger Voss,@vossroger,Domaine Fouassier 2015 Les Romains  (Sancerre)
125232,Portugal,"With its highly perfumed character, this wine is intense with ripe tannins and delicious acidity. It almost needs to hold back on its ebullient aromas and fruitiness to balance out. The tannic structure could help, with a dry aftertaste that hints at the fruit to come. Drink from 2026.",Vintage,92,75.0,Port,,,Port,Ramos-Pinto,Roger Voss,@vossroger,Ramos-Pinto 2015 Vintage  (Port)
125233,Argentina,"Plum and blackberry aromas dominate a fruit-forward nose with palpable oak and toast. This is rock-solid and firm on the palate. Ripe flavors of baked black fruits are darkened by toast and chocolate notes. On the finish, this tastes of fig and peppery spice. Drink through 2023.",,92,60.0,Mendoza Province,Uco Valley,,Malbec,Rule of Three,Michael Schachner,@wineschach,Rule of Three 2013 Malbec (Uco Valley)
125234,France,"From one of the top vineyard sites in Sancerre, this fine wine is ripe, herby and intense. It has concentrated white fruits, citrus and green herbs. There is a distinct tangy minerality that will soften over the next few months. Drink from early 2018.",Domaine de Terres Blanches Chêne Marchand,92,55.0,Loire Valley,Sancerre,,Sauvignon Blanc,Saget la Perrière,Roger Voss,@vossroger,Saget la Perrière 2015 Domaine de Terres Blanches Chêne Marchand  (Sancerre)
125235,US,"This is a rich concentrated and high-toned wine, layered in cinnamon, chocolate and blackberry jam, with an underlying acidity that keeps it fresh despite its thick wrapping of oak. A handful of Petite Sirah is within the blend.",La Promessa,92,40.0,California,Dry Creek Valley,Sonoma,Zinfandel,Sbragia,Virginie Boone,@vboone,Sbragia 2014 La Promessa Zinfandel (Dry Creek Valley)
125236,Portugal,"Aged in wood for up to 14 months, this wine is rich and smooth. Produced from low-yielding old vines, it's a field blend of many different varieties. It is ripe with layers of black currant and spice flavors along with acidity. The wine has weight but remains stylish. Drink from 2018.",Vale da Poupa Reserva Field Blend,92,19.0,Douro,,,Portuguese Red,Secret Spot Wines,Roger Voss,@vossroger,Secret Spot Wines 2014 Vale da Poupa Reserva Field Blend Red (Douro)
125237,Italy,"This full-bodied Cabernet Sauvignon opens with ripe black currant, cedar and bell pepper scents. On the palate, expect concentrated dried Marasca cherry, tobacco and licorice flavors buttressed by firm, fine-grained tannins. Drink through 2027.",,92,70.0,Sicily & Sardinia,Contea di Sclafani,,Cabernet Sauvignon,Tasca d'Almerita,Kerin O’Keefe,@kerinokeefe,Tasca d'Almerita 2014 Cabernet Sauvignon (Contea di Sclafani)
125238,US,"Butterscotch, butter, honey and roasted-peanut aromas lead to similar boisterous flavors in this extremely rich and full-bodied wine from Rhône-style winemaker Bill Easton. It's so ripe and luxurious that it almost tastes sweet. Aged cheese should make a great pairing.",Monarch Mine Vineyard,92,25.0,California,Sierra Foothills,Sierra Foothills,Roussanne,Terre Rouge,Jim Gordon,@gordone_cellars,Terre Rouge 2015 Monarch Mine Vineyard Roussanne (Sierra Foothills)
125239,US,"The color is on the light side and the appearance is slightly cloudy but that takes nothing away from the interesting flavors of plum, black tea and mint leaves that come with a mild texture, a light body, some good acidity and a sense of reserve in this native-yeast-fermented wine from a consistently excellent winemaking couple.",Deer Meadows Vineyard,92,58.0,California,Anderson Valley,,Pinot Noir,Waits-Mast,Jim Gordon,@gordone_cellars,Waits-Mast 2014 Deer Meadows Vineyard Pinot Noir (Anderson Valley)
125240,US,"This bottling offers an expression of velvety plush texture that's persistent in stony minerality and an edge of graphite. Cranberry, rhubarb and orange provide tart, tangy fruit flavors that are irresistible around the complex spice core.",,92,39.0,California,Sonoma County,Sonoma,Pinot Noir,Williams Selyem,Virginie Boone,@vboone,Williams Selyem 2015 Pinot Noir (Sonoma County)
125241,Portugal,"A straw-colored wine, this was aged in wood and is full of spice as well as fruit. Centered on Antão Vaz and Verdelho, it has acidity, apricot and citrus flavors and good acidity. Beautifully structured, it's rich while still firm and restrained. Drink from 2018.",Rubrica Branco,92,23.0,Alentejano,,,Portuguese White,Luis Duarte,Roger Voss,@vossroger,Luis Duarte 2015 Rubrica Branco White (Alentejano)
125242,US,"Full bodied and robust, this wine is abundant in earthy mint, strawberry and rhubarb,. It is also fully infatuated with its cool-climate aromatics of sea breeze and morning fog. Cherry rules the day on the palate, taking on a richness across the voluptuous finish.",Stanly Ranch,92,48.0,California,Carneros,Napa-Sonoma,Pinot Noir,Mira,Virginie Boone,@vboone,Mira 2013 Stanly Ranch Pinot Noir (Carneros)
125243,Portugal,"If you haven't tried Portuguese wines before, this impressively rich wine is a good place to start. Aging for three years, with 12 months in wood, gives it a smooth, ripe black-fruit character. The acidity and the fruit are a seamless part of the texture of the tannins. The wine is ready to drink.",Reserva,92,18.0,Alentejano,,,Portuguese Red,Monte da Ravasqueira,Roger Voss,@vossroger,Monte da Ravasqueira 2014 Reserva Red (Alentejano)
125244,France,"This wine is from one of the top vineyard sites in the village of Bué. It is tense with the typical minerality of this vineyard, giving a wine that always needs to age. Its tight tangy orange-zest flavors are concentrated and reinforce the need to age the wine. Drink from 2019.",Chêne Marchand,92,27.0,Loire Valley,Sancerre,,Sauvignon Blanc,Pierre Morin,Roger Voss,@vossroger,Pierre Morin 2015 Chêne Marchand  (Sancerre)
125245,US,"Most of the estate vines used for this blend date back to the mid-1970s. It emphasizes bright citrus flavors, like lemon and lime, with lemon verbena, cilantro and other fresh herb notes that add detail to the finish. A very fine value, it can also age for a decade or longer.",Estate,92,19.0,Oregon,Willamette Valley,Willamette Valley,Riesling,Elk Cove,Paul Gregutt,@paulgwine ,Elk Cove 2016 Estate Riesling (Willamette Valley)
125246,New Zealand,"This shows just how good Gimblett Gravels reds can be even at such a fair price point. Senior Winemaker Gordon Russell has fashioned a full-bodied, dark and dense wine that shows hints of vanilla and cedar which frame dark plum and cassis fruit, then slowly fade into a long, velvety finish. Drink 2020–2030.",Gimblett Gravels Merlot-Cabernet Sauvignon-Malbec-Cabernet Franc,92,18.0,Hawke's Bay,,,Bordeaux-style Red Blend,Esk Valley,Joe Czerwinski,@JoeCz,Esk Valley 2014 Gimblett Gravels Merlot-Cabernet Sauvignon-Malbec-Cabernet Franc Red (Hawke's Bay)
125247,US,"With a riper profile than the 2014, this vintage of this wine is instantly delicious and bursting with sweet cherry fruit. Full flavored and fruity, it finishes on lasting milk chocolate, sweet herb and cola notes.",Sullivan,92,52.0,Oregon,Willamette Valley,,Pinot Noir,Fairsing,Paul Gregutt,@paulgwine ,Fairsing 2015 Sullivan Pinot Noir
125248,France,"This comes from a six-acre vineyard of 30-year-old vines. It is steely and taut with an almost flinty character. As a contrast, the young fruit is crisp, full of citrus and green plum fruits. It is a ripe wine that has a few more months to be at its best. Wait until 2018.",Cuvée Silex,92,38.0,Loire Valley,Sancerre,,Sauvignon Blanc,Fournier Père et Fils,Roger Voss,@vossroger,Fournier Père et Fils 2015 Cuvée Silex  (Sancerre)
125249,Portugal,"This wine is concentrated and structured. With dark tannins and bitter-chocolate flavors, it is dense with a ripe texture as well as big black fruits. It comes from a vineyard selection, yielding a powerful wine that needs another year to be ready. Wait until 2018.",Reserva,92,45.0,Alentejano,,,Portuguese Red,Herdade do Rocim,Roger Voss,@vossroger,Herdade do Rocim 2013 Reserva Red (Alentejano)
125250,US,"Intriguing layers of light fruits like persimmon, raspberry and spice create a fine balance with the light body, the mild tannins and the elegant texture of this idiosyncratic coastal wine. Precise and somewhat reserved, the wine gives a sense of keeping its power and depth hidden until it's more mature. Best after 2020.",Raschen Ridge,92,85.0,California,Sonoma Coast,Sonoma,Pinot Noir,Hirsch,Jim Gordon,@gordone_cellars,Hirsch 2014 Raschen Ridge Pinot Noir (Sonoma Coast)
125251,US,"From a 40-plus-year-old vineyard, this peppery wine is dry, fruity and bold. It combines peach, apple and orange fruit flavors with a lusciously full-bodied mouthfeel that's also layered and well structured. Drink now and over the next decade.",Old Vine,92,25.0,Oregon,McMinnville,Willamette Valley,Riesling,Hyland,Paul Gregutt,@paulgwine ,Hyland 2016 Old Vine Riesling (McMinnville)
125252,US,"This is deliciously deep, with ripe raspberry, blackberry and black cherry fruit in abundance. It retains a tart, tangy bite of acidity as well, and a touch of sweet barrel toast from aging in 30% new French oak.",Ribbon Springs Vineyard,92,68.0,Oregon,Ribbon Ridge,Willamette Valley,Pinot Noir,Adelsheim,Paul Gregutt,@paulgwine ,Adelsheim 2014 Ribbon Springs Vineyard Pinot Noir (Ribbon Ridge)
125253,US,"Star fruit and citrus notes build into riper peach and tree fruit flavors. A hint of powdered sugar colors the finish, as does a burst of buttered toast. Still integrating, this will reward further cellaring. Drink 2019–2030.",Caitlin's Reserve,92,45.0,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Adelsheim,Paul Gregutt,@paulgwine ,Adelsheim 2015 Caitlin's Reserve Chardonnay (Willamette Valley)
125254,US,"Formerly the deLancellotti vineyard, Silice brings fresh, supple flavors of bright raspberry and cherry fruit. A distinctive ashy stone note forms the bassline, holding the finish firm. It should benefit from another year of bottle age. Or give it a long decant to enjoy now.",Silice,92,70.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Bergström,Paul Gregutt,@paulgwine ,Bergström 2015 Silice Pinot Noir (Chehalem Mountains)
125255,US,"The aromas are light, with notes of moist earth, smoke, cassis, herb and berry. The saline and fruit flavors are silky in feel, bringing a sense of concentration and texture that keeps the interest high. There's plenty of minerality throughout along with a lengthy finish.",Camaspelo,92,85.0,Oregon,Walla Walla Valley (OR),Oregon Other,Red Blend,Cayuse,Sean P. Sullivan,@wawinereport,Cayuse 2014 Camaspelo Red (Walla Walla Valley (OR))
125256,US,"Aged in a mixture of concrete and stainless steel, this wine brings perfumed aromas of crushed stone, flowers and peach. The flavors are mineral laden, broad and silky in feel, showing an impeccable texture and sense of balance. This shows a beautiful sense of freshness.",Cailloux Vineyard,92,75.0,Oregon,Walla Walla Valley (OR),Oregon Other,Viognier,Cayuse,Sean P. Sullivan,@wawinereport,Cayuse 2015 Cailloux Vineyard Viognier (Walla Walla Valley (OR))
125257,France,"This serious wine is spicy both from wood aging and from the natural character of the Cabernet Franc. It is rich, intense and with layers of red fruits balanced with a strongly smoky character. The wine has a tight texture, suggesting it needs further aging. Drink from 2019.",,92,50.0,Loire Valley,Saumur-Champigny,,Cabernet Franc,Château de Parnay,Roger Voss,@vossroger,Château de Parnay 2014  Saumur-Champigny
125258,US,"From dry-farmed, own-rooted vines planted in 1965 by Charles Coury, this selection is remarkably fresh and forward. Lush strawberry and black cherry flavors comingle, with chocolaty tannins and exceptional texture, detail and length. It spent 14 months in 30% new French oak. Beginning with the 2015 vintage, it will have national distribution.",Old Vine,92,45.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,David Hill,Paul Gregutt,@paulgwine ,David Hill 2014 Old Vine Pinot Noir (Willamette Valley)
125259,Portugal,"Created to celebrate the 500th anniversary of the birth of Saint Theresa of Avila, this wine made from a special selection of fruit. Richly structured, it displays great style as well as intensity. Black fruits are beautifully integrated into the ripe body of the wine, backed by acidity and with tannins and wood-aging flavors in the background. Drink from 2018.",Santa Teresa d'Avila Homenagem,92,30.0,Tejo,,,Portuguese Red,Quinta da Lapa,Roger Voss,@vossroger,Quinta da Lapa 2014 Santa Teresa d'Avila Homenagem Red (Tejo)
125260,Italy,"Uccelliera's savory Rosso offers a compact mouthfeel, with bright acidity, silky tannins and bright berry aromas. Pair this wine with lamb stewed with exotic spices and grated ginger.",,88,20.0,Tuscany,Rosso di Montalcino,,Sangiovese Grosso,Uccelliera,,,Uccelliera 2009  Rosso di Montalcino
125261,Argentina,"A very oaky style of Malbec. The bouquet is full of cough drop, milk chocolate and mint, while the palate feels solid and beefy, but resiny. Flavors of berry fruits are softened and sweetened by oak and chocolate, while the finish is woody and tannic.",Gran Reserva,88,50.0,Mendoza Province,La Consulta,,Malbec,Altocedro,Michael Schachner,@wineschach,Altocedro 2009 Gran Reserva Malbec (La Consulta)
125262,Italy,"This is a nicely fragrant Rosso that shows bright nuances of raspberry, wild strawberry and pressed rose petal. The wine is smooth and silky to the end.",,88,50.0,Tuscany,Rosso di Montalcino,,Sangiovese Grosso,Belpoggio,,,Belpoggio 2010  Rosso di Montalcino
125263,Italy,"Easy, fresh and succulent, this ruby-colored Rosso would make a great match for grilled sausage or hamburger patties. There's a ripe, chewy texture to the mouthfeel, with a finish that's driven by dark fruit flavors.",,88,20.0,Tuscany,Rosso di Montalcino,,Sangiovese Grosso,Cordella,,,Cordella 2010  Rosso di Montalcino
125264,US,"This is a dry, robust Syrah, packed with blackberry, blueberry, anise, bacon and pepper flavors, and wrapped into sturdy tannins. Give it a decant, and drink with game or Mexican beef dishes.",,88,30.0,California,Dry Creek Valley,Sonoma,Syrah,Dogwood,,,Dogwood 2008 Syrah (Dry Creek Valley)
125265,US,"This amped-up vintage of the Merlot-dominated, BFM Bordeaux-style red tops 15% alcohol, but seems a bit contrived. Aggressive vanilla and tobacco flavors cover up the nuanced highlights found in past BFM vintages, and the base of black cherry fruit carries a root beer finish. Not that it isn't a tasty drink—it is—it's just less interesting than before.",Stone Tree Vineyard BFM Red,88,53.0,Washington,Wahluke Slope,Columbia Valley,Bordeaux-style Red Blend,Dusted Valley,Paul Gregutt,@paulgwine ,Dusted Valley 2008 Stone Tree Vineyard BFM Red Red (Wahluke Slope)
125266,France,"Approaching maturity, here is a Riesling that still has a refreshing citric character, intensely tangy perfumed fruit as well as green herbs, spice and yeast.",,88,25.0,Alsace,Alsace,,Riesling,Hugel,Roger Voss,@vossroger,Hugel 2006 Riesling (Alsace)
125267,Turkey,"Clean and bright on the nose, with loads of black plums and blueberries. This wine, made from Öküzgözü grapes, is an interesting glimpse into Turkish winemaking. Dry and medium bodied, with a firm tannic structure and brisk acidity, it finishes with a hint of milk chocolate flavor. Could benefit from decanting, but would be an interesting to age as well.",Vintage Single Vineyard Collectible Series #5,88,20.0,Elazığ,,,Okuzgozu,Kayra,Anna Lee C. Iijima,,Kayra 2008 Vintage Single Vineyard Collectible Series #5 Okuzgozu (Elazığ)
125268,Argentina,"Opens with hard-baked berry aromas that turn briary and herbal with airing. Smooth tannins and meaty blackberry flavors are matched by barrel-driven vanilla and spice. Oaky and minty on the finish, with spunk and length.",Single Vineyard Reserva,88,19.0,Mendoza Province,Agrelo,,Malbec,Lamadrid,Michael Schachner,@wineschach,Lamadrid 2009 Single Vineyard Reserva Malbec (Agrelo)
125269,US,"Winemaker John Kinney blends 50% Cabernet Sauvignon from Galles Vineyard with 50% Del Arroyo Vineyard Petite Sirah, trying to take advantage of the Cab's floral, herbal notes and the Petite's concentration and wall of tannins. He has largely succeeded. This dark-black wine is very much full of intense cherry and structured tannins and leathery spice. Petite Sirah lovers will particularly swoon.",Sotto Voce,88,30.0,California,Livermore Valley,Central Coast,Red Blend,Occasio,Virginie Boone,@vboone,Occasio 2009 Sotto Voce Red (Livermore Valley)
125270,Australia,"A solid example of Coonawarra Cabernet, the 2008 Terra Rossa features a charming combination of cherry-cassis fruit and eucalypt with cigar box and vanilla. It's medium to full in body, with fine balance and a long finish. Drink now–2016.",Coonawarra Estate Terra Rossa,88,30.0,South Australia,Coonawarra,,Cabernet Sauvignon,Parker,Joe Czerwinski,@JoeCz,Parker 2008 Coonawarra Estate Terra Rossa Cabernet Sauvignon (Coonawarra)
